text,label
@MaherZain: Dr Mohamed Morsi announced as Egypt's 1st elected President after the glorious 25th of Jan Revolution. Congratulations to #Egypt,1
"Amanda thinks that because she's not ""going to the Oscars"" is a valid excuse for her not washing her hair since Thursday.",-1
This may be the sickest movie ever.. Black Forest now Fairies? #Wow  #IWantOne,-1
"Negros and nigglettes, all who would like to attend the a$ap rocky concert on  November 17th at starland lemme know tickets are only 25",0
"Strip club owner ""guessing we'll make 5 times as much a night"" .. ""Republicans got plenty of money. They take it all from poor people""  #DUH",-1
I fail to see why the Rams are playing TWICE on MNF this Fall-isn't once enough?And their 1st div game isnt til wk9!Un-frickin-real.,-1
#Everton News - Krul will miss the Monday night clash with Everton and at least a further couple of ... - ChronicleL... http://t.co/oJfsg5Hr,0
Our coverage of Garner vs. Athens Drive beings tomorrow night at 6:30 on http://t.co/dBRkPMZV & @tunein. Hope you'll join us!,0
"can't believe @Alesso is only 2 days older than me! can't wait to see him again tomorrow with @davidguetta at Fort Canning, Singapore!!",1
Championship Thurs @ Blue Raider Hoop camp today!!! Closing ceremonies @ 3:45 in Murphy Center!!! Autographs with all players!,0
"More primary filing mess, Timmonsville is at it again, and more 7th Congressional interviews. Thank God it is Friday! #flosc",1
"Exhausted after a long day at WPPI, but ready to do it again tomorrow!",1
Heat vs Knicks gone be the best series in the 1st round..,1
Front Line with Kamran Shahid Latest - 25 June 2012:  http://t.co/2JCqBfDJ,0
@10AJMcCarron AJ will you follow me for my birthday? Also looking really forward to seeing y'all Nov 10! :) my first college game :),1
"Karthikeyan in 22nd is already being warned by his HRT engineer that he needs to cool the brakes, with 53 laps still to go. #F1",-1
"Does Girls Gone Wild still make commercials?  If, God Forbid, this one goes to extras, we may find out.",0
I may do a 30-mile bike ride for the Giants on weds cause you know Caltrain is going to suck more than the Cardinals.,-1
The pack rides during the 7th stage of the 70th edition of the Paris-Nice cycling race run between S http://t.co/UQgeDykv,0
The driver of a motor vehicle that crashed on Petrolia Line in the evening of July 11 remains in serious condition. http://t.co/ciUXdGck,0
"Jennifer Aniston, Justin Theroux high end shopping; time to decorate the crib: Tuesday, E! Online shared the vid... http://t.co/8Q6Plbfm",0
The Lorax is one of the stupidest animated movies I've ever sat through. I wasted a nap for this?,-1
Who's going to Israel this Saturday?!,0
I forgot Plies gone be at the moon tomorrow,0
@stewardsfolly I think he and Sanchez should both be sat down. Time to bring back the 4-man rotation.,0
I have a very STRONG dislike for George Zimmerman. I really do. Why isn't he in jail! Can't wait for him to be sentenced in June.,-1
My moms under the hilarious impression that I'm spending my saturday loading & unloading furniture from trailers in natchitoches,1
Watched The Vow for the 5th time and I'm still tearing. What's wrong with this movie. It's tooo... omg i can't even.,-1
"@IanWright0 really really good Ian, Skyfall tonight, Jack White Tomorrow & Man U away Saturday, can't be bad. How are you?",1
Rg is cleared for the Vikings game Sunday #goodmood   p.s. thank God we got rid of Cuntsniff or is it Cundiff?,1
But this is not the 1st time that Juventus is maximizing the potentials of ex-Milan players..Cannavaro and Edgar Davids are similar cases,-1
Final Destination 5 opens this Friday.  Tell us about your closest brush with death for a chance to win a pair of... http://fb.me/10e1DsIMq,0
"Badly judged joke from Herring. Joke may not ""be about rape"" but reference to Rohypnol always evocative of such, no matter the intent.",-1
"Did you get a full, part-time job or internship offer? Let us know! Signing Day tomorrow in LBJSC Amphitheater-tell where you will work!",0
"This ""Too Cute"" puppy show on Animal planet might just be the greatest thing ever. I may never leave my room. #HomeworkCanWait",1
"Thanks to Jesus, CVS, My Mom & My Mary...I was able to kick this flu in 1 week! Now to make it w/out My MaryJane until Monday! #struggles",1
ARRIVAL of ship: NMS 202 Port: ABU DHABI Time: Nov 2 2012 6:21AM (UTC) (Time of arrival/departure is the time the vessel approach...,0
"@ScottiePippen Who will get the tough buckets in the 4th quarter for, The Bulls?",0
"@alfredoflores follow @amandawanxo and meet her on November 26, outside the bell center at 4:00? 3",0
"Article 54: A Bro is required to go out with his Bros on official Bro holidays; halloween, New Year's Eve, and Desperation Day (February 13)",0
"@Real_Liam_Payne Saturday, I buy my ticket for the #TMHTOUR in Belgium! I'm so happy!",1
"Yiying is two characters in the Chinese lang. The 1st part, Yi, means Happy. The 2nd part, Ying, means Creative. right? @profpjm #learning",0
@RSElectronics No I want my Raspberry Pi which I ordered from you in July... 19 weeks dispatch time is ridiculous!,-1
Danica Patrick let her temper get the best of her Sunday and knocked herself out of NASCAR race http://t.co/ziT7wf95,-1
Lauryn Hill's going to be at Constitution Hall on November 4th >>>>>>>> I'm in there like swimwear !!!,0
"MMA - ESPN.com: ESPN Video: On the night of his explosive win, Dan Henderson relives his ...espn.go.com/video/cl... http://bit.ly/pVuGAC",1
"My 1st tweet, chose you @KellyRipa, saw u in Banff, thankful our snow isn't as damaging as the weather you're dealing with!  Keep safe & dry",1
"Nine Pin Bird Rock race (2nd race in the Duke of Marlborough Hotel series) postponed 24 hours to Sunday 4 November, still 10 am start.",0
@wheeler_afc pls TV5 just get that sucker's leg (rvp) broken 4 me on saturday pls!!,-1
Happy 21st b day @TheonlyAyrton looking forward to another trip to Knoxville,1
@picesbaby123 when we were in 3rd grade she stole my Valentine Day cards and crossed my name out and put hers on them n passed em out.,-1
Nothing like watching the Vow on a Friday night. Cheers to cancelled plans and sickness,1
The Winans singing Tomorrow. They still got it.,1
@lazofficial How they gone kill u on da 1st episode of the new season of Breakout Kings? Damn no more eye candy. Miss you,-1
"If you haven't seen your Good Giving Guide yet, check it out online.  The Challenge starts Nov 1 - we appreciate your support!...",1
"Fuck it,  might go see Reggie tomorrow ...",-1
I forgot how sad the first episode of the 5th season of Dexter is. #depressing #dexter #darkpassenger,-1
"@MyBeautyisBrown LMFAO his big ass get on my nerves, you going to class tomorrow?",-1
"@muterundumo good argument, however ITS A GAMBLE that won't pay off, worse still I think the constitution has a deadline of Dec 4th",-1
"RT @ashpashh_: if Twilight wins all the awards at the TCA's tonight, I will burn my Twilight posters k? ok.",1
"@zinsernyt Not sure if the marathon should happen, but by ignoring Saturday's Nets game that is still on, I find this article deceptive",-1
Your mom sat on PSN and it went down.,-1
I hate ASAP on Friday !!!! Why I have BUSY always in the end of week :(,-1
Did you just tell me Lucas scott leaves in the 6th season of tree hill with peyton to travel the wolrd?#YOUJUSTRUINEDMYLIFE #FUCKYOU,-1
"Heres everybody's warning nobody better piss me off tomorrow, Idc who you are I'm gonna snap #done #imatmybreakingpoint #canttakethisanymore",-1
"I'm gonna just don it during school tomorrow. Math in TOK, History in Math and Bio, and Spanish during lunch. Yup that sounds about right.",1
"under the cherry moon, my niggas carry heat, enough to bury June shaaaataaaaaaaaap",-1
"@Freak_Franchise  Make Sure you tune into @4playnation On http://t.co/S0IHr27X, tomorrow from 1pm to 3pm, Special Guest Young Savage",1
"Leonel Angel Coira signed with Real Madrid and will begin training September 6th, he is 7. I need to get Pax some cleats.",0
"Bad news, no Gibbs for Saturday. Unless we play TV5 at LB, we have lost before it's started. Santos is a liability and will be cut to shreds",-1
"My feeling about fears is, if you voice your fears, they may come true. I'm superstitious enough to believe that. - Meryl Streep",1
For April to try to make me come to Richwood <<,0
Friday night in & 'The Notebook' is on.. better get the tissues ready! #lovestory #noah&ali #tears,1
RT @CorkBuzz1: RT @ummera: West Cork Pig Derby tonight in Timoleague!  Declared non-runners! http://t.co/cotxNpT #corkbuzz,0
"In my 2nd season in MyCareer, and the Jazz have Maggette and JR Smith starting... NO NO NO, WTF IS THIS?!?",0
I still have a lot of candy left anyone want tomorrow :'),1
is all about One Night by Elvis Presley,1
paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://t.co/jxxTNlu6,0
Why Verizon's 4G Limits May be the Droid Bionic's Achilles Heel - Gotta Be Mobile #verizon #phone,0
"@kevindixie you may as well write ""ooooh look I got some free stuff"" Dixie your such a ponce!",1
Especially nice to have Rosedale @DCPL open in the neighborhood while NE Branch at 7th & Maryland is closed for renovations.,1
"You can also catch me in room 2 at Amplified Sessions @ V Club, Bournemouth next friday, supporting Roger Sanchez in the main room!",1
"RT @linka01: Hey #GOP, no matter how you slam Obama, you own our credit rating downgrade. It is ALL your fault, & we'll remind you in No ...",-1
Join us THIS THURSDAY for the Introduction to our Dramatic Reading of Charles Dickens's A Christmas Carol. 11/1 6-7pm.,0
"Willie Horton: Made in Detroit: ""I just remember my dad saying, 'We're going to sign a contract today, and you'r... http://bit.ly/qsQAWj",1
"@topcity yep.  Once it's lost, it can never be returned.  I was in Constitution Hall last Fri.  Got chills.  So much history was almost lost",-1
Got my Dexter fix for the night. Until 2morw night Dexter Morgan.,1
@RoMaNiSta_8 after the game on Sunday I expect Roma to be even more determined that they otherwise would be,1
"Parker, Leonard steal OKC's thunder: Ninety minutes before tipoff Thursday night at the AT&T Center, Oklahoma Ci... http://t.co/NNjbPSWk",-1
Halloween is the third biggest party day of the year behind New Year's Eve and Super Bowl Sunday,1
"Being in Amsterdam this early on a friday morning is not my ideal, I just want to get home!",-1
Windows 7 brain damage this evening. Apple should just buy Microsoft and crush the life out of it. Please.,-1
"HARAKAH: Iran army monitoring all ships in Gulf: TEHRAN, Oct 28: A senior commander of the Islamic Revolution Gu... http://t.co/hbdrQP3P",0
"Opening today ""The Inbetweeners"" (15) 20.45 and Cowboys & Aliens (12a) 20.20 Remember it's Super Saver Day,so you... http://t.co/OpofihG",1
@Julia_White You too lovely! I was like a big kid. See you tomorrow for X Factor fun x,1
Sunday is turning out to be the day when i play Temple Run. Social life is a joke only. Forever alone lvl 100000000.,-1
Opening Night Warriors vs. Suns: Second Half Game Thread: 0:00 remaining in the 2nd  1 2 3 4 Total Golden St... http://t.co/p2bB0zTt,0
Glad im going to Greenville tomorrow night tho,1
3rd and goal at the 1 and Rivers throws a int. terrible pass by Rivers . Bad decisions cost u games. Geez half time Sd 10-3,-1
"And also, haven't been able to check and CBA updates since Sunday. If anyone hears any news, please pass it along to me. Thanks!",-1
"Daily Digit: Exchanges lost $1 mln a day: Oct 31 - NYSE, Nasdaq, and the CBOE each lost about $1 million in trad... http://t.co/T2ltnGrS",-1
"After losing 2 last week, today the GOP is trying to win 2 Senate seats in Wisconsin by recalling 2 Democrats. It looks like they'll fail",-1
Demi Lovato will perform at the 2013 Houston Rodeo on March 3rd!! Get your tickets! http://t.co/nUXfZYW1,1
RT @Fearnecotton: Also back to school special Celebrity Juice on itv2 tonight! Oushhhhh,1
Just watched Act of Valor for the 4th time - I do like that movie.,1
Looking forward to going to the Colts game this evening!,1
@NormaSeaEagles Norma they are cat 1 bought on 1st day they released. Cant tell exact seats till 2 morrow in work computer from Ticketek.,0
NFL Ticket at the Eagles Club presents the Thursday night contest Steelers and Titans http://t.co/Fw3D8K0f,0
@moomnaliaqat no problem! BOI YOU BEST BE AT RIM TOMORROW lol there is like no one going to rim.. and LOL I really dont wanna go to school..,-1
@LoveAdamsEyes Don't get me wrong I love Bruno Mars he is amazing but that Grammy should have went to Adam for Best Pop Vocal. I mean c'mon!,1
"Please put on your calender to come to the Petrolia-VFD Social Hall in Petrolia, PA this Saturday night the Raise... http://t.co/WbT1MmUL",0
Prayers and thoughts to Pavol Demitra's family today and all others on the plane. The blues nation lost a loved member today,-1
@MartinaMcGowan good morning to you Martina!! I hope your day is great too!! :) is it hot where you are? It's steaming here in Bama!,1
LPG consumers can now fill up KYC form till Nov 15: The government has extended by 15 days the deadline for filling... http://t.co/tGzJfMUi,0
This Sunday the Leos are taken over Jett Lounge #LionKing http://t.co/M3uC2z8c,0
Turns out having less than an hour's unbroken sleep leaves you feeling pretty grim on a Tuesday,-1
"@Idieshoop let's just say, I call it the Casey's Trifecta. I'll explain in homeroom tomorrow....after I ask Cory to homecoming lol",1
"@heeydems Do you know ?they may not but we're so fond of all the countries . Uh,happy Republic Day .",1
@Tayyl0rgang you won't see me tomorrow :( on my way home from Alabama...,-1
Barely going to sleep after watching #dexter all evening! I love this show!,1
Davos coach Del Curto expects Rick Nash to return tonight. Davos are a fairly bad 10th in the table with 9 points from 10 GP. #NYRangers,0
"I'm going to destructo at Rise in Boston, MA - Sep 28 http://t.co/tOYJh6D0",0
Looks like BJ's Skate Center is the place to be in St Joe on a friday night!,0
So if the Premiership is called off on Saturday who is for Inbetweeners?,0
Capello: I'll Tweak Lineup for Azerbaijan Game: Coach Fabio Capello said Monday he will tweak the Russian lineup... http://t.co/Qsa7KgiQ,0
"@KRuddMP listed as star attraction for Aust-China event today. Rudd's office say he never committed, PR in charge says he cancelled Friday.",-1
Pals knock2bag tonight at Rich Mix! Come and hang out. Also you can catch me on Russell Howard's Good News tonight and tomorrow.,1
I'm just looking forward to the Knicks verse Nets game on Thursday! Carmelo Anthony verse Deron Williams my two favorite players!,1
"@mar_mermaid I love you Maria :* you have to text me tomorrow I have to tell you something, you might pee your pants , just a warning xoxox",1
i can talk about Malcolm X all day... like when i got kicked outta school in 8th and 9th grade for being too radical about Black Panthers,-1
Xherdan Shaqiri may replace Frank Ribery in the starting lineup vs Bayer Leverkusen tomorrow.,0
@xxxBiBiJones Sorry about the Yankees... there is always tomorrow.  Want to fly to New York for a game?,-1
Bowling tryouts November 5th pass it on if interested,0
SimCity delayed it's availability http://t.co/UNGAQdaO,-1
@Moretti_Crowned @RobCitrullo I'm on the last 3 episodes for the 10th time. I still want to bootfuck Phil & Johnny sac every time they talk.,-1
@No1LikeMe_NAC lol I'll be able to do it Saturday.. Or Friday night after the Greek show,1
The Wednesday iPad edition is out now - including Tom Segal's Pricewise advice and brilliant previews for Juddmonte International day,1
At Ricks Cafe with @jojocurls watching dese guys jump off the cliffs and drinking rum runners in the sun http://t.co/pxfndqQa,0
Next Friday SolTek residents Daffadam and Medlam take to the stage at Plan B - London for C Panel's 1st Birthday.... http://t.co/9JafrjwC,0
"@xxFranchizexx LMFAO! You know why they call Japan the ""Land of the Rising Sun"" right?...Cause everyone there is squinting all day long.",1
"TONS of hw tomorrow, lunch date with joey, back to hw, then magic mike with ash&co. before bed :)",1
Dad: what are you going to do in Athens tomorrow? Me: Nothing. Dad: Oh. Ok. Have fun.  I like my Father.,1
"If @TheRock wins the @WWE Title at #RoyalRumble, then he would have to defend it in his 1st ever Elimination Chamber match.",1
I haven't bought my kit and NCS is tomorrow. My frame of mind right now is just #leaveityeah,-1
Colts Backup QB Curtis Painter warming up. This could be it for Kerry Collins who may have a concussion. #NFL #Colts,0
Don't forget that the amazing Georgie Fame is bringing his smooth style Rhythm & Blues and his famous Hammond organ to @The_Millfield 14 Nov,1
Not convinced by the Haye v Chisora fight @ Upton Park on Saturday.....personally I'd rather have seen Carlton Cole v Emile Heskey,-1
Can't wait till Sunday morning when we (Shola) make the Mackems cry. Pretty sure a #HatemBomb or two will be dropped too. #PremierPunditry,1
"Ash Wednesday is always hard for me, any day focused around ash on your body brings back bad memories for me.",-1
It's the clash of the century - we're taking on @love39steps and @1Man2Guvnors at bowling tonight. May the best show win. (us) #fightingtalk,1
@RobbieSavage8 what did you think of Derby tonight sav?,0
"Russian air crash kills 'almost all of KHL team Pavol Demitra,Karlis Skrastins,Ruslan Salei,Brad McCrimmon among the dead, may they all #RIP",-1
I still want that Birthday Cake remix that I wanted on Saturday...,1
After a day at the lake me and my girl are getting ready to do Vegas big tonight! #blessed #freshtodeath,1
It seem like it's NATIONAL KISSING DAY every other THURSDAY! Who tf made that shit up??!,-1
"Dinner in Athens with my friend, @stevebeuerlein. Preparing for our game on @SEConCBS this Saturday. #OleMiss #Georgia http://t.co/4QqWxtnd",0
"Cba for work this weekend, wana be a sloth on Sunday with @GeorgiaKington and @abbieparker1",0
"@DCdotNerd 7th & Monroe is also only 2 blocks s, 1 block w of the metro exit on catholic side. Follow MBT signs",0
"it's a sunday, i think in the spirit of douglas adams and feeling like shit i will have a second bath",-1
"#Pacers extend their biggest lead of the game with a Paul George jumper. Up 10 pts, 48-38, with 2:03 left 1st half!",1
Machine Gun Kelly Concert On the 30th!! Me & @LSTREETZ Bout 2 shut this bitch down!,-1
"listening to muse like crazy till i see them, then straight onto evanescence and the who for november 4th, sounds good",1
"Someone comes to me and is like 'irene, what time did u GOT home yesterday? What time did you LEFT here' #plantation",0
"I dont want to talk to no one tomorrow besides evelyn , additi , nathalie , paola & destiny",-1
"And to the 2 girls in front of us that sat down and played Temple Run the whole time, why did you even come? #confused",-1
"I noticed all the Huddlestone haters were conspicuous by their absence yesterday, particularly when he assisted Bale for the 1st goal #THFC",-1
"God he's a daft thing! He (Merlin) is not very bright sometimes! She (Circe) apparently sat there washing her paws, ignoring him! #girls",-1
Work almost over with then these negros won't see my face till Monday night!,-1
"Cloud Computing and Big Data Strategy: In this CEO Power Panel at the 10th International Cloud Expo, moderated b... http://t.co/KD87pMPF",0
@hallenissen this kid from work is going to Belgium for tomorrow land,0
Tomorrow is the Big Day! Discount Prices on Botox and Juvederm! Call and make an appointment! http://t.co/L82XnY9P #botox #juvederm #madison,1
The ending to The Grey may be one of the most bad ass endings to a movie I've ever seen,-1
"World Music Festival Rocks City Saturday: Maria Muldaur headlines the day-long event, which bring French G... http://t.co/7iBd9qL0 #jazz",0
"The 2012 Wine & Roses fundraiser is tonight Saturday, Oct 27th! The Pinery at Black Forest will be the setting of... http://t.co/jU0pgoQB",0
Going to see Rise of the Planet of the Apes tonight:) Perfection #check,1
[411Music] Dr. Conrad Murray to Take the Stand in Michael Jackson Murder Trial: Jury selection begins this Thursday... http://t.co/IXWiLCj,0
Randy Lynch at Oscars this Friday night with his band BLACK LIST. http://t.co/Jf1DSwnG,0
@4yourfreedom1 did u see?Il Divo's coming to Romania (Bucharest) THIS Sunday!if I'd only known 2-3 months earlier!!do u like 'em?r u going?,0
The Heat are playing the 3rd quarter so fast and free that Game 5 is starting to look like the NBA All-Star Game. #NBAFinals,1
"I really hate to think it, but the same type thing that's happening to Miami could happen to Alabama tomorrow.",-1
Watching Puss in Boots & Ghost Rider: Spirit of Vengeance with the family! D&D character roll up and bio tomorrow!,0
"Our last draw for an HD TV is today, 24 Feb., at noon. Good luck, everyone! Details to enter the #pplHDTV comp:",1
All I know is the road for that Lomardi start at TONIGHT!!!! We will set a record for a pre-season MNF I can guarantee it.,1
5. Di Java Jazz tahun berapa Alex dan Beno berjumpa for the 1st time? #DIVORtrivia,0
"I'm going to Clutch at Buster's Billiards & Backroom in Lexington, KY - Dec 28 http://t.co/uUvNmgtS",0
First the Superbowl now Revel will finally be released on DVD on Nov 24th! My day is complete!!!! Oh how I love my Bey,1
"So This is how it's gonna be #NCAA South 3rd Round Winners UK, Iowa St, Wichita ST, Ind, UNLV, Baylor, Xavier (upset) Duke",0
I wanna go to Chapel Hill tomorrow night but its going to be so cold. I'll just go to work instead!,0
Did I miss the Charlie Sheen roast on Comedy Central or is it Sept 19th?,0
"it's ages since I had KFC, well apart from the mush in a bun that passed as breakfast last SUnday, that doesn't count though",-1
Battle for the 17th banner: Royal Rumble basketball edition,0
Everyone talks about eli manning  being the best in the 4th qtr. Jay cutler has the best qbr rating in 4th qtr in the nfl #GetSome #DaBears,1
#stAte is giving #ULOL the business...long pass play from Aplin to Jones - Red Wolves up 20-0 2nd Q #SunBelt,1
"@davidgill1985 @leahkeenan your going to be tamping etc etc come Sunday evening, up the Mackems",0
The new Bruno Mars song is wicked. It sounds like a cross between the Police and Michael Jackson. I may or may not play it 14 times/day..!,-1
Cliff Avril leaves Detroit Lions game with back injury: Detroit Lions defensive end Cliff Avril left Sunday's game against the Minnes...,-1
@Michelle_Foy1 @kimmikaa @pameatsbabies if you dont know hes the vocalist of the metal band Lamb Of God and is a sorta a 3rd party candidate,-1
Eleanor says she's going to practice squat peeing in the shower for tomorrow,0
#HappyBirthdayKendallSchmidt Hopefully tomorrow we can also get #BTRonPCAs trending! For Big Time Rush! BTR deserves it!,1
"i would be so happy that its a late start tomorrow ... BUT NOOOOOOOOO , i have to go to catch up day because i failed my fcking french test",-1
Cba with work tonight. Tommorw. Sat. Sun. And Monday.,0
@dubstephh_ down to blaze with Joe and I tomorrow?,0
Heading back to Chesterfield for a job tomorrow after an intense & amazing few days in Derby with the @lostalone lads! DVD is looking ace!,1
City's excellent peformance today (apart from defending) I realised what a tough season it will be for Everton @LordBelgareth @petemeechan,0
#Ckt #update Pakistan hopeful of Bangladesh visit: Pakistan's cricket board said Sunday it hopes to... http://t.co/5Z9cKGpd from #Shariq,1
@kwan1926  I laugh to death!!!lol!! Don't trust the translation of google anymore! It's is full of errors!! btw u played truant today .\_/.!,-1
Damn Rivergate Skate Center used 2 b the spot to b on Friday the 13th.,0
Idc anymore everyone leave me alone at school tomorrow I'm going pissed....,-1
I can't believe the 3 important people in my life are going to Hawaii Friday without me,-1
Last day of work at Walgreens tomorrow! *cries tears of joy*,1
"Just met with CJ, banjo player in @MatrimonyBand! Come out to Neighborhood Theatre on June 23rd for the concert! You won't want to miss it!!",1
Tuesday will be my last day in Florida :-(,-1
"False start penalty, Garner moved early. Brings up 3rd and 16 from the Yale 47.",-1
Just watched the Rhonda Rousey v. Meisha Tate fight for the 1st time and that was one of the nastiest armbars,-1
Tonight was just a preview of what Bob Jones will do to Austin at tomorrow's vball game. VBC. Noon. #BeThere #BJP,0
Even though I already know how it ends... Im watching the CMAs tomorrow just to see blake drunk,0
Happy Valentines Day lulwhuuuut? I guess it is February weather though...,1
Boehner wants president to change speech to Thurs instead of going against #GOP2012 debate. What? Same time as Packers-Saints #NFL opener?!?,-1
"Ate McDonald's and feel guilty so I'm goin to 24 for an hour or 2, then to AZ tomorrow, go and try and make my life better",-1
Rugby tonight and it's like freezing omg I may die,-1
Tweet di Brintey So amazing to have the beautiful Lady Gaga at the show in AC tonight. Love you girl.- Britney http://fb.me/13C1kUZaw,1
"Actors have the Academy Awards, Recording Artists have the Grammys, and now..DJ's have the GSA's!! - NOMINEES ANNOUNCED TOMORROW 10/9",0
Celebrity Juice is the highlight of my Thursday night.. Keith Lemmon is hilarious hahaha,1
@nonegiven101 - That may not happen now with all the sackings Over in Cupertino.,-1
I've been on TV a few times now. Still waiting for the call from ITV about Dancing On Ice though. Starting to think I may be TOO famous.,-1
@Built4dTough first meet December 8th in the Murphy center,0
Cba with work tomorrow! #Boring #Blag,-1
@EBGamesCanada may I have an industrial revolution code for my pre-order of Bioshock Infinite? I got one from the store but cant redeem.,-1
"2nd most dangerous beach in the world Gansbaai, South Africa This part of the world is great white territory. A... http://t.co/AxhM5nnE",-1
"@Seanzha it's Mexican! Sorry for the late answer, iPad' charging fucked me yesterday :D",-1
Looking forward to going to Carrow Road with my brother tonight #coys (he must've forgiven me for my behaviour at White Hart Lane in April),1
Red Cross halts most Pakistan aid after beheading: The International Committee of the Red Cross  said on Tuesday... http://t.co/NyZ7fj7t,-1
"Todd Bertuzzi made the best of the NHL lockout Wednesday, but while having his son join an http://t.co/wpzBxAc2",1
Delicious warm sun...great to see you (if only briefly) after hurricane sandy whipped through here a couple hours ago.,1
"On October 19th, the new judge in the George Zimmerman trial, ruled that Trayvon social media interactions would... http://t.co/G91cd7Ee",0
"Why these mfs jus blastin ""Rella"" like itz the hood on Saturday N shit lolz smh",-1
@ClaaraLou unfortunately not but I did get to tune in to Saturday Kitchen in the hotel.,-1
"@mebebree from december 26th to january 26th. NYC until the 1st, NC and then FL.",0
Winter Storm Watch remains in effect from Monday evening through Wednesday morning for the Smoky Mountains. 4-8 inches of snow is possible.,0
RT @CoryWho: Alright everyone lets do this. 2 winners tonight at 9pmEST. Girl and boy winners. 1600 Microsoft Points. @ me and follow fo ...,1
"I realize Bellamy is a freshman QB but the play selection leaves a lot to be desired, option toss on 3rd and 7 #CmonMan",-1
You'd think after not replying to the 3rd text the Twat face would get that I fucking hate him.,-1
Steve Jobs biography may be available in time for the iPad 3 http://t.co/TI4zLWg,0
@yosp why doesnt Sony promote 1st party games? AC3 commercials are on tv all the time. And no one (cont) http://t.co/6uXrjMvC,-1
"Sandy, if you have ruined my chances to see Bruno mars on Monday I will go buck wild.",-1
"Managed to snag a RIH test press along with the new 7"". Woop. Come see them in Margate this Sunday",0
